STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
AS01-0,--,13.7912,0.720278,10.716,10.507,10.47,99.0,99.0,99.0,99.0,99.0,Arnica
AS03-0,--,16.09,4.2275,12.606,12.729,12.827,99.0,99.0,99.0,99.0,99.0,Arnica
AS04-1,--,28.6808,0.733056,12.371,12.033,11.962,99.0,99.0,99.0,99.0,99.0,Arnica
AS05-0,--,37.5683,5.26444,13.232,13.314,13.381,99.0,99.0,99.0,99.0,99.0,Arnica
AS05-1,--,37.5775,5.27833,14.35,13.663,13.507,99.0,99.0,99.0,99.0,99.0,Arnica
AS07-0,--,44.3383,0.310833,11.105,10.977,10.946,99.0,99.0,99.0,99.0,99.0,Arnica
AS10-0,--,73.2454,-0.244722,11.349,11.281,11.259,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-1,--,89.2933,0.0272222,12.201,11.781,11.648,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-1,--,89.2896,0.0305556,12.521,12.101,11.97,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-3,--,89.2833,0.00194444,13.345,12.964,12.812,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-0,--,100.143,9.32028,10.874,10.669,12.628,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-1,--,100.151,9.31667,12.656,11.98,11.792,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-2,--,100.158,9.31139,13.711,12.927,12.719,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-3,--,100.158,9.30528,14.32,13.667,13.415,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-0,--,111.064,-0.547222,14.159,14.111,13.305,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-1,--,111.06,-0.551389,13.761,13.638,13.606,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-2,--,111.064,-0.546944,11.411,11.428,11.445,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-3,--,111.072,-0.540833,13.891,13.855,13.818,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-4,--,111.073,-0.551944,11.402,11.106,11.043,99.0,99.0,99.0,99.0,99.0,Arnica
AS18-0,--,132.774,11.7297,12.741,12.402,12.338,99.0,99.0,99.0,99.0,99.0,Arnica
AS18-1,--,132.765,11.7508,10.769,10.614,10.575,99.0,99.0,99.0,99.0,99.0,Arnica
